0/   Common Name,1/   Latin Name,1b/  Genus,1c/  Cultivar (Y/N),1d/  Source,2/  Native Status Tier,3/  Native Status - Basis,22/  Native to (Level II Ecoregion),2/  Slug,3/  Drive Image ID,8/  Category,9/  Habit,10/  Flower,11/  Leaf,"12/  Height, Min (ft)","13/  Height, Max (ft)","14/  Spread, Min (ft)","15/  Spread, Max (ft)",4/  Light Req,5/  Water Req,6/  Soil Req,7/  Zone,24/  Drought Resistant,25/  Low Maintenance,52/  Shade Tolerance [USDA PLANTS],53/  Ellenberg-style L value (1-9) [where available],"50/  Coeff. of Conservatism C (0-10) [Chicago Region FQA, Swink&Wilhelm 1994]",51/  Coeff. of Wetness W (-5..+5) [Chicago Region FQA],16/  Bloom Color,17/  Bloom Time,18/  Fall Leaf Color,19/  Fall Color Time,20/  Attractive Seedhead Time,21/  Garden Attributes,23/  Context,28/  Growth Rate/Lifespan,27/  Summary Blurb,29/  Detailed Description,"30/  Maintenance, General","31/  Maintenance, Late Winter","32/  Maintenance, Early Spring","33/  Maintenance, Mid Spring","34/  Maintenance, Late Spring","35/  Maintenance, Early Summer","36/  Maintenance, Mid Summer","37/  Maintenance, Late Summer","38/  Maintenance, Early Fall","39/  Maintenance, Mid Fall","40/  Maintenance, Late Fall","41/  Maintenance, Winter","43/  [DOC] Pollinators Supported (documented, partial)","44/  [DOC] Pollinator Taxa Count (documented floor, not a census)",45/  [EST] CSR Strategy,46/  [EST] CSR Basis,47/  [REC] Companion - CSR-Matched,48/  [REC] Companion - Site-Matched (Soil/Water/Light),49/  [REC] Companion - Complementary Seasonal Interest,58/  Image - Spring (URL or Drive ID),59/  Image - Summer (URL or Drive ID),60/  Image - Fall (URL or Drive ID),61/  Image - Winter (URL or Drive ID)
Trailblazer Blazing Star,Liatris spicata Trailblazer,Liatris,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,vertical spike,,coarse,2,4,0.75,1.25,Full sun,average,"loam, clay",3 to 8,TRUE,TRUE,Intermediate,,6,0,,Late Summer,tan to golden,October to November,August to November,showy flowers,,slow growth; moderate-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Primrose Hill oriental Lily,Lilium orientale Primrose Hill,Lilium,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,,2,4,0.5,1,Full sun to part shade,Medium,"rich, well-drained",4 to 8,,,,,,,,June to August,,,,"lily, fragrant, summer bloomer",,moderate growth; moderate-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Stargazer Speciosum Lily,Lilium speciosum Stargazer,Lilium,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,,2,4,0.5,1,Full sun to part shade,Medium,"rich, well-drained",4 to 8,,,,,,,,June to August,,,,"lily, fragrant, summer bloomer",,moderate growth; moderate-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Spicebush,Lindera benzoin,Lindera,N,Fiore,Native / near-region (PROVISIONAL - genus-native tie; verify),Native or near-region species of a regional-native genus (verify species-level status),,,,shrub,rounded shrub,,coarse,6,12,6,10,Part shade,average,"loam, clay",4 to 9,,,Intermediate,,7,-2,white,Mid Spring,yellow to gold,October to November,,showy flowers,,slow growth; long-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Monet Moment Cardinal Flower,Lobelia Monet Moment,Lobelia,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,"lanceolate, alternate, green",2,4,1,2,Full sun to part shade,Medium to wet,"moist, organically rich",4 to 9,,TRUE,,,,,,July to September,tan,October,,"lobelia, attracts hummingbirds",,moderate growth; short-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Cardinal Flower,Lobelia cardinalis,Lobelia,N,Fiore,Native / near-region (PROVISIONAL - genus-native tie; verify),Native or near-region species of a regional-native genus (verify species-level status),,,,flower,upright clump,,"lanceolate, alternate, green",2,3,1,2,Full sun to part shade,Medium to wet,"moist, rich",4 to 9,,TRUE,,,7,-5,red,July to September,bronze,October,,"attracts hummingbirds and butterflies, rain garden",,perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Black Truffel Cardinal Flower,Lobelia cardinalis Black Truffel,Lobelia,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,"lanceolate, alternate, green",2,3,1,2,Full sun to part shade,Medium to wet,"moist, rich",4 to 9,,TRUE,,,7,-5,red,July to September,bronze,October,,"lobelia, attracts hummingbirds",,perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Great Blue Cardinal Flower,Lobelia siphilitica,Lobelia,N,Fiore,Native / near-region (PROVISIONAL - genus-native tie; verify),Native or near-region species of a regional-native genus (verify species-level status),,,,flower,upright clump,,"lanceolate, alternate, green",2,3,1,2,Full sun to part shade,Medium to wet,"moist, organically rich",4 to 9,,TRUE,,,6,-4,blue,July to September,tan,October,,"attracts hummingbirds and butterflies, rain garden",,perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Scentsation Woodbine,Lonicera periclymenum Scentsation,Lonicera,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,vine,climbing vine,,"ovate, opposite, green",10,20,6,10,Full sun to part shade,Medium,"average, medium, well-drained",4 to 9,,,,,,,,May to August,,,,"honeysuckle, fragrant, attracts hummingbirds and birds",,perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Kintzleys Ghost Honeysuckle,Lonicera reticulata Kintzleys Ghost,Lonicera,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,vine,climbing vine,,"ovate, opposite, green",10,20,6,10,Full sun to part shade,Medium,"average, medium, well-drained",4 to 9,,,,,,,,May to August,,,,"honeysuckle, fragrant, attracts hummingbirds and birds",,perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Coral Honeysuckle,Lonicera sempervirens Major Wheeler,Lonicera,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,vine,climbing vine,,"ovate to elliptic, opposite, blue-green",10,15,6,10,Full sun to part shade,Medium,"average, medium, well-drained",4 to 9,,,,,,,,May to August,,,,"trumpet honeysuckle, attracts hummingbirds",,rapid growth; long-lived,,,,,,,,,,,,,,,,,,,,,,,,,
Red Rum Lupine,Lupinus Red Rum,Lupinus,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,"palmate, 7–11 leaflets, blue-green",2,3,1,2,Full sun,Medium,"average, well-drained",3 to 8,,,,,,,,May to July,,,,"lupine, tall spires, nitrogen fixer",,moderate growth; short-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Gooseneck Loosestrife,Lysimachia clethroides,Lysimachia,N,Fiore,Native / near-region (PROVISIONAL - genus-native tie; verify),Native or near-region species of a regional-native genus (verify species-level status),,,,flower,upright clump,,"lanceolate to ovate, alternate, green",2,3,2,3,Full sun to part shade,Medium,medium to wet,3 to 8,,,,,0,5,white,July to August,,,,"gooseneck loosestrife, arching white spikes, spreads by rhizomes",,perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Creeping Jenny or Moneywort,Lysimachia nummularia Aurea,Lysimachia,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,spreading mat,,"small, rounded, opposite, bright green to gold",0.1,0.25,2,4,Full sun to part shade,Medium to wet,medium to wet,3 to 8,,,,,0,-4,,June to August,,,,"creeping Jenny, fast-spreading groundcover, golden or green",,perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Ostrich Fern,Matteuccia struthiopteris,Matteuccia,N,Fiore,Native / near-region (PROVISIONAL - genus-native tie; verify),Native or near-region species of a regional-native genus (verify species-level status),,,,fern,vase,,"pinnate, vase-shaped, bright green",3,5,3,4,Part shade to full shade,Medium to wet,"rich, moist",3 to 7,,,,,10,-3,,,,,,"vase-shaped form, spreads by rhizomes",,moderate growth; long-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Bee Pretty Beebalm,Monarda Bee-You Bee Pretty,Monarda,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,"ovate, aromatic, toothed",2,4,2,3,Full sun to part shade,Medium,"average, medium, well-drained",3 to 9,,TRUE,,,,,,July to September,reddish bronze,October to November,September to December,"beebalm, attracts hummingbirds and bees",,moderate growth; moderate-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Bee-You Bee-Happy Beebalm,Monarda Bee-You Bee-Happy,Monarda,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,"ovate, aromatic, toothed",2,4,2,3,Full sun to part shade,Medium,"average, medium, well-drained",3 to 9,,TRUE,,,,,,July to September,reddish bronze,October to November,September to December,"beebalm, attracts hummingbirds and bees",,moderate growth; moderate-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Sugar Buzz Bubblegum Blast Bee Balm,Monarda Bubblegum Blast,Monarda,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,"ovate, aromatic, toothed",2,4,2,3,Full sun to part shade,Medium,"average, medium, well-drained",3 to 9,,TRUE,,,,,,July to September,reddish bronze,October to November,September to December,"beebalm, attracts hummingbirds and bees",,moderate growth; moderate-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Neon Pink Bee Balm,Monarda Electric Neon Pink,Monarda,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,"ovate, aromatic, toothed",2,4,2,3,Full sun to part shade,Medium,"average, medium, well-drained",3 to 9,,TRUE,,,,,,July to September,reddish bronze,October to November,September to December,"beebalm, attracts hummingbirds and bees",,moderate growth; moderate-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Mojo Bee Balm,Monarda Mojo,Monarda,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,"ovate, aromatic, toothed",2,4,2,3,Full sun to part shade,Medium,"average, medium, well-drained",3 to 9,,TRUE,,,,,,July to September,reddish bronze,October to November,September to December,"beebalm, attracts hummingbirds and bees",,moderate growth; moderate-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Bee Balm,Monarda bradburiana,Monarda,N,Fiore,Native / near-region (PROVISIONAL - genus-native tie; verify),Native or near-region species of a regional-native genus (verify species-level status),,,,flower,upright clump,,"ovate, aromatic, toothed",1.5,2,2,3,Full sun to part shade,Dry to medium,"average, medium, well-drained",3 to 9,,TRUE,,,,,lavender to white,May to June,reddish bronze,October to November,September to December,"early beebalm, attracts bees and butterflies",,perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Midnight Oil Bee Balm,Monarda bradburiana Midnight Oil PP#34.354,Monarda,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,"ovate, aromatic, toothed",1.5,2,2,3,Full sun to part shade,Dry to medium,"average, medium, well-drained",3 to 9,,TRUE,,,,,,May to June,reddish bronze,October to November,September to December,"early beebalm, attracts bees and butterflies",,perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Coral Reef Bee Balm,Monarda didyma Coral Reef,Monarda,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,"ovate, aromatic, toothed",2,4,2,3,Full sun to part shade,Medium to wet,"average, medium, well-drained",3 to 9,,TRUE,,,0,5,,July to August,reddish bronze,October to November,September to December,attracts hummingbirds and butterflies,,perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Kline Bee Balm,Monarda didyma Jacob Kline,Monarda,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,"ovate, aromatic, toothed",2,4,2,3,Full sun to part shade,Medium to wet,"average, medium, well-drained",3 to 9,,TRUE,,,0,5,,July to August,reddish bronze,October to November,September to December,attracts hummingbirds and butterflies,,perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Marshalls Delight Bee Balm,Monarda didyma Marshalls Delight,Monarda,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,"ovate, aromatic, toothed",2,4,2,3,Full sun to part shade,Medium to wet,"average, medium, well-drained",3 to 9,,TRUE,,,0,5,,July to August,reddish bronze,October to November,September to December,attracts hummingbirds and butterflies,,perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Pardon My Cerise Bee Balm,Monarda didyma Pardon My Cerise,Monarda,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,"ovate, aromatic, toothed",2,4,2,3,Full sun to part shade,Medium to wet,"average, medium, well-drained",3 to 9,,TRUE,,,0,5,,July to August,reddish bronze,October to November,September to December,attracts hummingbirds and butterflies,,perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Pardon My Purple Bee Balm,Monarda didyma Pardon My Purple,Monarda,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,"ovate, aromatic, toothed",2,4,2,3,Full sun to part shade,Medium to wet,"average, medium, well-drained",3 to 9,,TRUE,,,0,5,,July to August,reddish bronze,October to November,September to December,attracts hummingbirds and butterflies,,perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Petite Delight Beebalm,Monarda didyma Petite Delight,Monarda,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,"ovate, aromatic, toothed",2,4,2,3,Full sun to part shade,Medium to wet,"average, medium, well-drained",3 to 9,,TRUE,,,0,5,,July to August,reddish bronze,October to November,September to December,attracts hummingbirds and butterflies,,perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Raspberry Wine Bee Balm,Monarda didyma Raspberry Wine,Monarda,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,"ovate, aromatic, toothed",2,4,2,3,Full sun to part shade,Medium to wet,"average, medium, well-drained",3 to 9,,TRUE,,,0,5,,July to August,reddish bronze,October to November,September to December,attracts hummingbirds and butterflies,,perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Spotted Horsemint,Monarda punctata,Monarda,N,Fiore,Native / near-region (PROVISIONAL - genus-native tie; verify),Native or near-region species of a regional-native genus (verify species-level status),,,,shrub,upright clump,,"ovate, aromatic, toothed",1.5,3,2,3,Full sun,Dry,"average, medium, well-drained",3 to 9,TRUE,TRUE,,,5,5,yellow to white,July to September,reddish bronze,October to November,September to December,"dotted horsemint, attracts many bee species",,annual,,,,,,,,,,,,,,,,,,,,,,,,,
Beebop Beebalm,Monarda punctata Beebop,Monarda,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,shrub,upright clump,,"ovate, aromatic, toothed",1.5,3,2,3,Full sun,Dry,"average, medium, well-drained",3 to 9,TRUE,TRUE,,,5,5,,July to September,reddish bronze,October to November,September to December,"dotted horsemint, attracts many bee species",,annual,,,,,,,,,,,,,,,,,,,,,,,,,
Bumble Bee King Eastern Bee Balm,Monarda x Bumble Bee King,Monarda,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,"ovate, aromatic, toothed",2,4,2,3,Full sun to part shade,Medium,"average, medium, well-drained",3 to 9,,TRUE,,,,,,July to September,reddish bronze,October to November,September to December,"beebalm, attracts hummingbirds and bees",,moderate growth; moderate-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Bayberry,Myrica pensylvanica,Myrica,N,Fiore,Native / near-region (PROVISIONAL - genus-native tie; verify),Native or near-region species of a regional-native genus (verify species-level status),,,,shrub,rounded shrub,,"narrow, aromatic when crushed, semi-evergreen",5,10,5,8,Full sun to part shade,Dry to medium,"average to poor, well-drained",3 to 7,TRUE,TRUE,,,,,yellow-green,March to April,,,,"aromatic waxy berries, nitrogen fixer, tolerates poor sandy soils",,moderate growth; long-lived,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Goldenrod,Oligoneuron ohioense,Oligoneuron,N,Fiore,Native / near-region (PROVISIONAL - genus-native tie; verify),Native or near-region species of a regional-native genus (verify species-level status),,,,flower,upright clump,,,2,4,1.5,2,Full sun,Medium to wet,"average, medium",3 to 9,TRUE,TRUE,,,,,yellow,August to October,,,,"Ohio goldenrod, wet prairie, attracts butterflies",,perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Sensitive Fern,Onoclea sensibilis,Onoclea,N,Fiore,Native / near-region (PROVISIONAL - genus-native tie; verify),Native or near-region species of a regional-native genus (verify species-level status),,,,fern,spreading clump,,"pinnate, coarse, bright green",2,4,3,4,Part shade to full shade,Medium,moist to wet,4 to 9,,,,,8,-3,,,,,,"coarse bold texture, shelter for wildlife",,perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Cinnamon Fern,Osmunda cinnamomea,Osmunda,N,Fiore,Native / near-region (PROVISIONAL - genus-native tie; verify),Native or near-region species of a regional-native genus (verify species-level status),,,,fern,vase,,"large, pinnate, bright green",2,3,2,3,Part shade to full shade,Medium to wet,"acidic, moist, organically rich",3 to 10,,,,,7,-3,,,,,,"cinnamon-colored fertile fronds in spring, native fern",,slow growth; long-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Royal Fern,Osmunda regalis,Osmunda,N,Fiore,Native / near-region (PROVISIONAL - genus-native tie; verify),Native or near-region species of a regional-native genus (verify species-level status),,,,fern,vase,,"large, pinnate, bright green",5,6,2,3,Part shade,Medium to wet,"acidic, moist, organically rich",3 to 10,,,,,,,,,,,,"bold architectural fern, rain garden",,perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Green Carpet Japanese Spurge,Pachysandra terminalis Green Carpet,Pachysandra,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,shrub,spreading mat,,medium,0.5,1,1.5,2,Part shade to full shade,moist,"sand, loam, clay",4 to 8,,TRUE,Tolerant,,0,5,,Early Summer,"evergreen, remains green",October to March,,showy flowers,,slow growth; moderate-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Variegated Japanese Spurge,Pachysandra terminalis Variegata,Pachysandra,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,shrub,spreading mat,,medium,0.5,1,1.5,2,Part shade to full shade,moist,"sand, loam, clay",4 to 8,,TRUE,Tolerant,,0,5,,Early Summer,"evergreen, remains green",October to March,,showy flowers,,slow growth; moderate-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Apache Rose Switch Grass,Panicum virgatum Apache Rose,Panicum,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,grass,upright clump,,coarse,3,6,2,3,Full sun to part shade,average,"sand, loam, clay",5 to 9,TRUE,TRUE,Intolerant,,5,-1,,Mid Summer,yellow to red,October to November,August to February,"four-season interest, birds eat seeds",,rapid growth; long-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Prairie Winds Cheyenne Sky Switch Grass,Panicum virgatum Cheyenne Sky,Panicum,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,grass,upright clump,,coarse,3,6,2,3,Full sun to part shade,average,"sand, loam, clay",5 to 9,TRUE,TRUE,Intolerant,,5,-1,,Mid Summer,yellow to red,October to November,August to February,"four-season interest, birds eat seeds",,rapid growth; long-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Dust in the Wind Switch Grass,Panicum virgatum Dust in the Wind,Panicum,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,grass,upright clump,,coarse,3,6,2,3,Full sun to part shade,average,"sand, loam, clay",5 to 9,TRUE,TRUE,Intolerant,,5,-1,,Mid Summer,yellow to red,October to November,August to February,"four-season interest, birds eat seeds",,rapid growth; long-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Heavy Metal Switch Grass,Panicum virgatum Heavy Metal,Panicum,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,grass,upright clump,,coarse,3,6,2,3,Full sun to part shade,average,"sand, loam, clay",5 to 9,TRUE,TRUE,Intolerant,,5,-1,,Mid Summer,yellow to red,October to November,August to February,"four-season interest, birds eat seeds",,rapid growth; long-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Niagara Falls Switch Grass,Panicum virgatum Niagara Falls,Panicum,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,grass,upright clump,,coarse,3,6,2,3,Full sun to part shade,average,"sand, loam, clay",5 to 9,TRUE,TRUE,Intolerant,,5,-1,,Mid Summer,yellow to red,October to November,August to February,"four-season interest, birds eat seeds",,rapid growth; long-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Northwind Switch Grass,Panicum virgatum Northwind,Panicum,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,grass,upright clump,,coarse,3,6,2,3,Full sun to part shade,average,"sand, loam, clay",5 to 9,TRUE,TRUE,Intolerant,,5,-1,,Mid Summer,yellow to red,October to November,August to February,"four-season interest, birds eat seeds",,rapid growth; long-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Purple Tears Switch Grass,Panicum virgatum Purple Trears,Panicum,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,grass,upright clump,,coarse,3,6,2,3,Full sun to part shade,average,"sand, loam, clay",5 to 9,TRUE,TRUE,Intolerant,,5,-1,,Mid Summer,yellow to red,October to November,August to February,"four-season interest, birds eat seeds",,rapid growth; long-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Rotstrahlbusch Switch Grass,Panicum virgatum Rotstrahlbusch,Panicum,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,grass,upright clump,,coarse,3,6,2,3,Full sun to part shade,average,"sand, loam, clay",5 to 9,TRUE,TRUE,Intolerant,,5,-1,,Mid Summer,yellow to red,October to November,August to February,"four-season interest, birds eat seeds",,rapid growth; long-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Shenandoah Switch Grass,Panicum virgatum Shenandoah,Panicum,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,grass,upright clump,,coarse,3,6,2,3,Full sun to part shade,average,"sand, loam, clay",5 to 9,TRUE,TRUE,Intolerant,,5,-1,,Mid Summer,yellow to red,October to November,August to February,"four-season interest, birds eat seeds",,rapid growth; long-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Wild Quinine or American Feverfew,Parthenium integrifolium,Parthenium,N,Fiore,Native / near-region (PROVISIONAL - genus-native tie; verify),Native or near-region species of a regional-native genus (verify species-level status),,,,flower,upright clump,,"ovate, toothed, aromatic",3,4,1,2,Full sun,Dry to medium,"average to poor, well-drained",4 to 8,TRUE,,,,8,5,white,May to August,,,,"wild quinine, aromatic foliage, prairie native",,perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia Creeper,Parthenocissus quinquefolia,Parthenocissus,N,Fiore,Native / near-region (PROVISIONAL - genus-native tie; verify),Native or near-region species of a regional-native genus (verify species-level status),,,,vine,climbing vine,,coarse,30,50,15,30,Full sun to full shade,dry,"loam, clay",3 to 9,TRUE,,Intermediate,,2,1,inconspicuous green,Late Spring,brilliant scarlet,September to October,,fall color,,rapid growth; moderate-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Red Wall Virginia Creeper,Parthenocissus quinquefolia Troki,Parthenocissus,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,vine,climbing vine,,coarse,30,50,15,30,Full sun to full shade,dry,"loam, clay",3 to 9,TRUE,,Intermediate,,2,1,,Late Spring,brilliant scarlet,September to October,,fall color,,rapid growth; moderate-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Ivy,Parthenocissus tricuspidata,Parthenocissus,N,Fiore,Native / near-region (PROVISIONAL - genus-native tie; verify),Native or near-region species of a regional-native genus (verify species-level status),,,,vine,climbing vine,,medium,30,60,15,30,Full sun to full shade,moist,"sand, loam",4 to 8,,,Tolerant,,0,5,green,Early Summer,brilliant scarlet,September to October,,"fall color, showy fruit",,rapid growth; long-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Dark Towers Beardtongue,Penstemon Dark Towers,Penstemon,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,"lanceolate, opposite, glossy",1,2.5,1,1.5,Full sun to part shade,Dry to medium,"average, well-drained",4 to 9,TRUE,TRUE,,,,,,May to July,bronze-green,October to November,,"tubular flowers, attracts hummingbirds and bees, native prairie/edge",,moderate growth; moderate-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
